* Distortion data saved by REW V5.20.13
* Dated: Oct 16, 2023 7:32:29 AM
* Source: Universal Audio Thunderbolt, Universal Audio Thunderbolt, 1, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -40.0 dBFS with no timing reference
* Measurement: B1D 0
* Frequency Step: 24 ppo
* Freq (Hz) Fundamental (dB) THD (%) Noise (%) H2 (%) H3 (%) H4 (%) H5 (%) H6 (%) H7 (%) H8 (%) H9 (%)
1436.751 82.146 0.029 0.018 0.010 0.010 0.0088 0.012 0.0100 0.0097 0.010 0.010
1478.851 82.147 0.029 0.022 0.011 0.011 0.0082 0.010 0.0098 0.0085 0.011 0.0099
1522.185 82.147 0.029 0.022 0.0098 0.012 0.0088 0.011 0.0094 0.0079 0.011 0.012
1566.789 82.147 0.029 0.029 0.011 0.011 0.010 0.0078 0.010 0.0079 0.011 0.011
1612.699 82.147 0.029 0.020 0.011 0.010 0.0097 0.0069 0.0100 0.0088 0.011 0.012
1659.955 82.146 0.030 0.022 0.010 0.012 0.010 0.010 0.0089 0.011 0.0098 0.012
1708.595 82.146 0.032 0.020 0.013 0.012 0.011 0.011 0.0093 0.012 0.012 0.011
1758.661 82.146 0.032 0.027 0.014 0.011 0.0096 0.012 0.011 0.012 0.010 0.0093
1810.193 82.147 0.034 0.027 0.014 0.012 0.010 0.013 0.011 0.013 0.013 0.012
1863.236 82.147 0.037 0.024 0.014 0.013 0.010 0.013 0.014 0.013 0.014 0.011
1917.833 82.146 0.034 0.025 0.013 0.013 0.010 0.012 0.012 0.013 0.011 0.012
1974.030 82.145 0.035 0.024 0.013 0.011 0.014 0.012 0.011 0.014 0.011 0.012
2031.873 82.144 0.035 0.021 0.011 0.011 0.013 0.013 0.013 0.013 0.011 0.013
2091.412 82.142 0.034 0.029 0.012 0.011 0.013 0.012 0.013 0.012 0.013 0.0096
2152.695 82.140 0.034 0.024 0.012 0.012 0.014 0.012 0.012 0.013 0.011 0.0089
2215.774 82.140 0.035 0.026 0.014 0.014 0.013 0.014 0.013 0.012 0.012 0.0061
2280.701 82.139 0.036 0.023 0.013 0.015 0.014 0.013 0.014 0.011 0.012 0.0044
